customer_id,month_year,avg_3mth_lag_fxd_brdbnd_total_download_gb,avg_3mth_fxd_brdbnd_total_sessions,min_months_until_contract_end,payment_mode_cash_cnt,max_months_until_contract_end,lag2_sum_net_revenue_amt,payment_mode_credit_card_cnt,lag2_sum_price,lag2_sum_unifi_stmx_rev_amt,lag2_sum_monthly_charges,lag2_sum_inv_tax_amt,payment_cent_type_bank_or_card_cnt,any_6mth_price_hike_10pct,account_cnt,lag2_fxd_voice_tot_usage_discnt_chrgs,lag2_sum_hypptv_revenue_amt,sum_hypptv_revenue_amt,revenue_score,fxd_voice_tot_usage_discnt_chrgs,avg_6m_cnt_prod_w,fxd_voice_wkend_tot_usage_discnt_chrgs,lag2_fxd_voice_wkday_tot_usage_discnt_chrgs,payment_cent_type_sbbs_or_mppj_cnt,spdtst_test_cnt,spdtst_avg_jitter,lag1_spdtst_avg_upload_kbps,lag1_spdtst_max_upload_kbps,payment_cent_type_post_office_cnt,tot_srvc_cnt,lag1_sum_hypptv_revenue_amt,avg_3m_tot_srvc_cnt,fxd_voice_wkday_tot_usage_discnt_chrgs,fxd_voice_wkday_postcode,fxd_voice_postcode,ct_unifi_super_value_pckg,fxd_voice_wkend_postcode,hypptv_rev_postcode,fxd_brdbnd_postcode,voice_rev_postcode,usage_charge_postcode,ct_promo_pckg,marital_status,ct_pckg_less_50_myr,monthly_charge_postcode,unifi_stmx_rev_postcode,net_revenue_postcode,is_out_of_contract,ct_unifi_pckg_less_150_myr,ct_pckg_over_100_myr,revenue_band,cnt_of_contracts,speed_upsell,y_pred,decile,percentile,y_pred_calibrated
1-14MWGUW,202308,325.834,1.333333,,1,,89,0,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,656,654,0,654,621,625,621,621,1,3,0,618,619,623,1,1,0,2,0,0,0.001860512,3,39,0.009725189
1-14NYL3Q,202308,137.11533,18,,0,,89,1,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,2,0,2.3333333,,1277,1292,0,1289,1156,1174,1158,1157,1,3,0,1155,1156,1172,0,1,0,2,0,0,0.002122916,1,16,0.009794907
1-14P-10896,202308,72.00567,7.666667,,1,,227,0,69,89,89,13.62,1,0,1,,0,0,5,,1,,,0,0,,,,0,3,0,3,,888,892,0,890,825,834,825,825,1,0,0,822,823,831,1,1,0,0,0,0,0.00226283,1,13,0.009832283
1-14P-13694,202308,267.61032,2.333333,,,,99,,69,99,89,5.94,,0,,,0,0,3,,0,,,,0,,,,,1,0,1,,908,910,0,909,841,851,841,841,1,3,0,838,839,847,1,1,0,2,0,0,0.002145184,1,16,0.009800847
1-14P-2047,202308,484.68332,2,,0,,92.4,1,89,89,89,5.544,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,773,772,0,774,724,732,724,724,0,3,0,721,722,728,0,1,0,2,0,0,0.002462739,1,10,0.009885931
1-14P-32815,202308,225.99933,31.333332,7.16129,1,12.903226,180.1,0,158,178,178,10.806,1,1,2,,0,0,4,0,0,0,,0,0,,,,0,2,0,2,0,888,892,0,890,834,834,825,825,1,3,0,831,823,831,0,2,0,2,2,0,0.001931287,2,29,0.009743945
1-14P-3451,202308,148.76866,29.333332,23.290323,,23.290323,73.3,,69,69,69,4.398,,0,,,0,0,1,0,0,0,,,0,,,,,1,0,1,0,908,910,0,909,841,851,841,841,0,3,0,838,839,847,0,1,0,1,1,0,0.001727683,5,57,0.009690086
1-14R-14910,202308,231.26266,9.333333,4.774194,1,4.774194,89,0,69,89,89,5.34,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,936,937,0,936,866,877,866,866,1,3,0,863,864,873,0,1,0,2,1,0,0.001375474,7,79,0.009597611
1-14R-208,202308,226.83966,2.333333,9.32258,1,9.32258,99,0,99,99,99,5.94,1,0,1,,0,0,3,,0,,,0,0,,,,0,1,0,1,,886,890,1,888,823,832,823,823,0,3,0,820,821,829,0,1,0,2,1,0,0.001867302,3,39,0.009726987
1-14R-21791,202308,245.73466,1.666667,21,,21,-23.76,,69,-23.76,-23.76,-1.4256,,1,,,0,0,1,,0,,,,0,,,,,1,0,1,,885,889,0,887,822,831,822,822,0,3,0,819,820,828,0,1,0,1,1,0,0.001524136,7,70,0.009636536
